Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	16.6s	4668	1	FAIL	Checks for product-marketing.md	The output is a plain text response. The 'Output files' section explicitly states: 'No output files were captured.'	1	1
ab-testing	eval-1	with_skill	FAIL	16.6s	4668	2	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	16.6s	4668	3	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	16.6s	4668	4	FAIL	Recommends five-phase launch approach	While the introduction claims 'we can execute a full **5-Phase Launch Approach**', the document only provides headings for **Phase 1**, **Phase 2**, **Phase 3**, and **Phase 4**. There is no content …	1	1
ab-testing	eval-1	with_skill	FAIL	16.6s	4668	5	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	16.6s	4668	6	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	16.6s	4668	7	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	16.6s	4668	8	PASS			1	1
ab-testing	eval-2	with_skill	FAIL	11.8s	4094	1	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	11.8s	4094	2	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	11.8s	4094	3	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	11.8s	4094	4	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	11.8s	4094	5	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	11.8s	4094	6	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	11.8s	4094	7	PASS			2	1
ab-testing	eval-3	with_skill	FAIL	10.8s	4069	1	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	10.8s	4069	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	10.8s	4069	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	10.8s	4069	4	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	10.8s	4069	5	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	10.8s	4069	6	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	10.8s	4069	7	PASS			3	1
ab-testing	eval-4	with_skill	FAIL	14.9s	4500	1	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	14.9s	4500	2	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	14.9s	4500	3	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	14.9s	4500	4	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	14.9s	4500	5	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	14.9s	4500	6	PASS			4	1
ab-testing	eval-5	with_skill	FAIL	15.5s	4597	1	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	15.5s	4597	2	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	15.5s	4597	3	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	15.5s	4597	4	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	15.5s	4597	5	FAIL	Notes borrowed strategies take time to build	The text does not explicitly state that borrowed strategies take time to build. Instead, it emphasizes speed ('You compete on speed'), immediate action ('Start with 5 personalized emails/DMs this wee…	5	1
ab-testing	eval-5	with_skill	FAIL	15.5s	4597	6	PASS			5	1
ab-testing	eval-6	with_skill	FAIL	13.4s	4397	1	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	13.4s	4397	2	FAIL	References or defers to marketing-ideas skill	The model output contains no mention of 'marketing-ideas skill', 'marketing-ideas', or any specific system skill. It responds directly as a general assistant.	6	1
ab-testing	eval-6	with_skill	FAIL	13.4s	4397	3	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	13.4s	4397	4	PASS			6	1
