Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	12.9s	22696	1	FAIL	Checks for product-marketing.md	No mention of product-marketing.md file in output	1	1
ab-testing	eval-1	with_skill	FAIL	12.9s	22696	2	FAIL	Addresses both voluntary and involuntary churn	Output only asks about churn breakdown, does not provide solutions for either type	1	1
ab-testing	eval-1	with_skill	FAIL	12.9s	22696	3	FAIL	Designs cancel flow with proper stages	Mentions 'Cancel flow with exit survey' in table but does not design actual flow stages	1	1
ab-testing	eval-1	with_skill	FAIL	12.9s	22696	4	FAIL	Includes exit survey with multiple categories	Exit survey mentioned but no categories provided	1	1
ab-testing	eval-1	with_skill	FAIL	12.9s	22696	5	FAIL	Maps save offers to cancellation reasons	States 'Match offers to cancel reasons' but no actual mapping provided	1	1
ab-testing	eval-1	with_skill	FAIL	12.9s	22696	6	FAIL	Addresses dunning stack for payment recovery	Mentions 'Dunning system' in table but does not address dunning stack implementation	1	1
ab-testing	eval-1	with_skill	FAIL	12.9s	22696	7	FAIL	Recommends health score model	No health score model mentioned or recommended	1	1
ab-testing	eval-1	with_skill	FAIL	12.9s	22696	8	FAIL	Provides prioritized implementation plan	Output asks clarifying questions before providing strategy; no implementation plan delivered	1	1
ab-testing	eval-2	with_skill	FAIL	14.6s	22943	1	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.6s	22943	2	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.6s	22943	3	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.6s	22943	4	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.6s	22943	5	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.6s	22943	6	FAIL	Recommends grace period before cancellation	No explicit grace period recommendation before account cancellation mentioned	2	1
ab-testing	eval-2	with_skill	FAIL	14.6s	22943	7	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.6s	22943	8	PASS			2	1
ab-testing	eval-3	with_skill	FAIL	21.8s	23523	1	FAIL	Triggers on casual phrasing	No user input provided; no indication of casual phrasing detection in model output	3	1
ab-testing	eval-3	with_skill	FAIL	21.8s	23523	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	21.8s	23523	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	21.8s	23523	4	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	21.8s	23523	5	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	21.8s	23523	6	FAIL	Warns against dark patterns	No explicit warning against dark patterns; only mentions FTC Click-to-Cancel compliance without dark pattern language	3	1
ab-testing	eval-3	with_skill	FAIL	21.8s	23523	7	PASS			3	1
ab-testing	eval-4	with_skill	FAIL	19.8s	23371	1	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	19.8s	23371	2	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	19.8s	23371	3	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	19.8s	23371	4	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	19.8s	23371	5	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	19.8s	23371	6	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	19.8s	23371	7	PASS			4	1
ab-testing	eval-5	with_skill	FAIL	11.3s	22760	1	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	11.3s	22760	2	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	11.3s	22760	3	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	11.3s	22760	4	FAIL	Notes that 'too expensive' often masks other issues	No statement in output indicates 'too expensive' masks other issues; treated as genuine price concern throughout	5	1
ab-testing	eval-5	with_skill	FAIL	11.3s	22760	5	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	11.3s	22760	6	PASS			5	1
ab-testing	eval-6	with_skill	FAIL	9.8s	22636	1	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	9.8s	22636	2	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	9.8s	22636	3	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	9.8s	22636	4	PASS			6	1
