Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	5.9s	29871	1	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	5.9s	29871	2	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	5.9s	29871	3	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	5.9s	29871	4	FAIL	Recommends multi-source discovery (Apollo, Clay, Crunchbase, BuiltWith)	Model mentions "Apollo, Clay, ZoomInfo" in questions but does not explicitly recommend 'BuiltWith' nor confirm the use of 'Crunchbase' as a source (only mentions it in the plan 'Apollo/Crunchbase/Lin…	1	1
ab-testing	eval-1	with_skill	FAIL	5.9s	29871	5	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	5.9s	29871	6	FAIL	Sources 2-3x candidates before qualifying	Model output is a request for clarification. It does not demonstrate sourcing 2-3x candidates (e.g., 50-75 sources for 25 targets). No candidate data is present.	1	1
ab-testing	eval-1	with_skill	FAIL	5.9s	29871	7	FAIL	Requires email validation before final list	Model promises to "Verify email deliverability... or flag for manual verification" but has not performed this step or required it as a constraint in the current output context. No list exists to vali…	1	1
ab-testing	eval-1	with_skill	FAIL	5.9s	29871	8	FAIL	Outputs SaaS-branch chat table columns	No table is output. Model states: "Output Format: Markdown table... or CSV?" indicating this is pending user input.	1	1
ab-testing	eval-1	with_skill	FAIL	5.9s	29871	9	FAIL	Includes top 3-5 outreach targets with rationale	No targets or rationale are included in the output. The output is a set of clarifying questions.	1	1
ab-testing	eval-1	with_skill	FAIL	5.9s	29871	10	FAIL	References saas-prospecting.md	The text mentions 'product-marketing.md' but makes no mention of 'saas-prospecting.md'.	1	1
ab-testing	eval-2	with_skill	FAIL	19.8s	31333	1	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	19.8s	31333	2	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	19.8s	31333	3	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	19.8s	31333	4	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	19.8s	31333	5	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	19.8s	31333	6	PASS			2	1
