Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	12.0s	23330	1	FAIL	Checks for product-marketing.md	Agent states: 'I should also check if there's a product-marketing context file, but since I don't have access to the file system, I'll proceed with asking questions.' No actual file check performed.	1	1
ab-testing	eval-1	with_skill	FAIL	12.0s	23330	2	FAIL	Establishes 3-5 content pillars	Output only promises: 'Content Pillars (3-5 themes that align with your expertise and goals)' but does not actually establish any pillars.	1	1
ab-testing	eval-1	with_skill	FAIL	12.0s	23330	3	FAIL	Applies LinkedIn platform guidance	Minimal guidance: 'LinkedIn rewards comments over likes.' No comprehensive platform-specific strategy applied.	1	1
ab-testing	eval-1	with_skill	FAIL	12.0s	23330	4	FAIL	Provides hook formulas	No hook formulas provided. Output mentions 'Post Templates (ready-to-use formats)' but does not deliver them.	1	1
ab-testing	eval-1	with_skill	FAIL	12.0s	23330	5	FAIL	Creates weekly content calendar	Only a 3-day 'Quick Start' table (Mon/Wed/Fri) shown, not a full weekly content calendar. Labeled as 'While You Think' placeholder.	1	1
ab-testing	eval-1	with_skill	FAIL	12.0s	23330	6	FAIL	Includes engagement strategy	Only brief tip: 'Spend 15 min/day commenting on other founders' posts before you post your own.' No comprehensive engagement strategy.	1	1
ab-testing	eval-1	with_skill	FAIL	12.0s	23330	7	FAIL	Addresses batching strategy for consistency	Mentions 'Repurposing System (turn 1 piece of content into 5+ posts)' but does not address batching strategy for consistency.	1	1
ab-testing	eval-1	with_skill	FAIL	12.0s	23330	8	FAIL	Recommends increasing from 1x to 3-5x per week	No frequency increase recommendation made. Agent asks clarifying questions instead of providing strategy.	1	1
ab-testing	eval-2	with_skill	FAIL	14.5s	23517	1	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.5s	23517	2	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.5s	23517	3	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.5s	23517	4	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.5s	23517	5	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.5s	23517	6	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.5s	23517	7	PASS			2	1
ab-testing	eval-3	with_skill	FAIL	8.8s	23044	1	FAIL	Triggers on casual phrasing	No casual phrasing trigger detected in model output	3	1
ab-testing	eval-3	with_skill	FAIL	8.8s	23044	2	FAIL	Applies content repurposing system	Model mentions system but only asks questions, does not apply it to actual content	3	1
ab-testing	eval-3	with_skill	FAIL	8.8s	23044	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	8.8s	23044	4	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	8.8s	23044	5	FAIL	Follows the repurposing workflow	Model only asks context questions, does not complete workflow steps (extracting insights, creating content)	3	1
ab-testing	eval-3	with_skill	FAIL	8.8s	23044	6	FAIL	Extracts 3-5 key insights to repurpose	No key insights extracted - model requests blog post content first	3	1
ab-testing	eval-3	with_skill	FAIL	8.8s	23044	7	PASS			3	1
ab-testing	eval-4	with_skill	FAIL	13.2s	23396	1	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	13.2s	23396	2	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	13.2s	23396	3	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	13.2s	23396	4	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	13.2s	23396	5	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	13.2s	23396	6	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	13.2s	23396	7	PASS			4	1
ab-testing	eval-5	with_skill	FAIL	25.4s	24533	1	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	25.4s	24533	2	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	25.4s	24533	3	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	25.4s	24533	4	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	25.4s	24533	5	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	25.4s	24533	6	PASS			5	1
ab-testing	eval-6	with_skill	FAIL	15.0s	23642	1	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	15.0s	23642	2	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	15.0s	23642	3	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	15.0s	23642	4	PASS			6	1
