Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	12.2s	13587	1	FAIL	Checks for product-marketing.md	The 'Output files' section explicitly states: 'No output files were captured.' and the output is plain text, not a markdown file.	1	1
ab-testing	eval-1	with_skill	FAIL	12.2s	13587	2	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	12.2s	13587	3	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	12.2s	13587	4	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	12.2s	13587	5	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	12.2s	13587	6	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	12.2s	13587	7	FAIL	Prioritizes by likely impact	The output lists '4 high-impact, low-cost marketing ideas' but does not assign a priority rank, score, or order of importance to them. It presents them as a list without explicit prioritization logic…	1	1
ab-testing	eval-1	with_skill	FAIL	12.2s	13587	8	PASS			1	1
ab-testing	eval-2	with_skill	FAIL	9.9s	13334	1	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	9.9s	13334	2	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	9.9s	13334	3	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	9.9s	13334	4	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	9.9s	13334	5	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	9.9s	13334	6	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	9.9s	13334	7	PASS			2	1
ab-testing	eval-3	with_skill	FAIL	16.7s	14020	1	FAIL	Triggers on casual phrasing	judge did not provide concrete evidence	3	1
ab-testing	eval-3	with_skill	FAIL	16.7s	14020	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	16.7s	14020	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	16.7s	14020	4	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	16.7s	14020	5	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	16.7s	14020	6	PASS			3	1
ab-testing	eval-4	with_skill	FAIL	16.6s	14008	1	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	16.6s	14008	2	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	16.6s	14008	3	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	16.6s	14008	4	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	16.6s	14008	5	FAIL	Notes authority building is longer-term	The output emphasizes speed ('build authority quickly', 'high-impact strategies', 'Next 30 Days'). It does not explicitly state that authority building is a longer-term effort, nor does it warn again…	4	1
ab-testing	eval-4	with_skill	FAIL	16.6s	14008	6	PASS			4	1
ab-testing	eval-5	with_skill	FAIL	19.7s	14403	1	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	19.7s	14403	2	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	19.7s	14403	3	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	19.7s	14403	4	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	19.7s	14403	5	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	19.7s	14403	6	PASS			5	1
ab-testing	eval-6	with_skill	FAIL	11.9s	13599	1	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	11.9s	13599	2	FAIL	References or defers to referrals skill	The model provides a 'Universal Referral Framework' and specific recommendations directly in the text. There is no mention of a specific 'referrals skill' or deferral to a specialized tool/module wit…	6	1
ab-testing	eval-6	with_skill	FAIL	11.9s	13599	3	FAIL	Does not attempt detailed referral program design	The model *does* attempt detailed design by outlining specific incentive models (e.g., 'Two-Sided Monetary', 'Two-Sided Credit'), specific mechanisms ('Deep Linking', 'Auto-Populate Fields'), and giv…	6	1
ab-testing	eval-6	with_skill	FAIL	11.9s	13599	4	FAIL	May briefly mention as a marketing idea	The model goes beyond 'briefly mentioning' it as an idea. It provides a comprehensive structural framework with 3 pillars, 4 specific incentive models, 4 friction reduction tactics, 3 motivation tact…	6	1
