Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	22.4s	29381	1	FAIL	Checks for product-marketing.md	No reference to product-marketing.md file found in output. Model states 'I have most of the context I need' without checking for files.	1	1
ab-testing	eval-1	with_skill	FAIL	22.4s	29381	2	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	22.4s	29381	3	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	22.4s	29381	4	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	22.4s	29381	5	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	22.4s	29381	6	FAIL	Suggests image or visual direction	Model asks 'Any visual creative? (I can also suggest image/video specs if you're generating visuals)' but does not provide actual image/visual direction suggestions.	1	1
ab-testing	eval-1	with_skill	FAIL	22.4s	29381	7	FAIL	Includes hook, body, and CTA for each	Ad variations include Primary Text, Headline, Description but are not explicitly structured as hook/body/CTA. No clear CTA component identified in each ad.	1	1
ab-testing	eval-1	with_skill	FAIL	22.4s	29381	8	PASS			1	1
ab-testing	eval-2	with_skill	FAIL	8.4s	28208	1	FAIL	Respects Google RSA character limits (30 char headlines, 90 char descriptions)	No headlines or descriptions generated; model asks for context first.	2	1
ab-testing	eval-2	with_skill	FAIL	8.4s	28208	2	FAIL	Generates 10-15 headline variations	Zero headlines produced. Model states: 'Let me ask for the missing context first.'	2	1
ab-testing	eval-2	with_skill	FAIL	8.4s	28208	3	FAIL	Generates 4+ description variations	Zero descriptions produced. Model only asks context questions.	2	1
ab-testing	eval-2	with_skill	FAIL	8.4s	28208	4	FAIL	Includes target keyword in headlines	No headlines generated to include keyword 'best CRM for small business'.	2	1
ab-testing	eval-2	with_skill	FAIL	8.4s	28208	5	FAIL	Notes pinning should be used sparingly per skill guidance	No mention of pinning guidance in output.	2	1
ab-testing	eval-2	with_skill	FAIL	8.4s	28208	6	FAIL	Suggests ad extensions	No ad extensions suggested in output.	2	1
ab-testing	eval-2	with_skill	FAIL	8.4s	28208	7	FAIL	Uses angle-based variation approach	No ad copy generated. Model mentions 'mix of' types but does not execute.	2	1
ab-testing	eval-3	with_skill	FAIL	14.2s	28756	1	PASS			3	1
