Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	10.7s	8307	1	FAIL	Checks for product-marketing.md	Output files section states: 'No output files were captured.' and the text body contains no file creation or markdown content labeled as such.	1	1
ab-testing	eval-1	with_skill	FAIL	10.7s	8307	2	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	10.7s	8307	3	FAIL	Evaluates time-to-value	The model asks 'What is your current activation definition?' and 'Where exactly is the drop-off?' but does not evaluate the user's specific time-to-value metrics or provide an evaluation based on pro…	1	1
ab-testing	eval-1	with_skill	FAIL	10.7s	8307	4	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	10.7s	8307	5	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	10.7s	8307	6	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	10.7s	8307	7	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	10.7s	8307	8	PASS			1	1
ab-testing	eval-2	with_skill	FAIL	13.1s	8524	1	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	13.1s	8524	2	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	13.1s	8524	3	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	13.1s	8524	4	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	13.1s	8524	5	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	13.1s	8524	6	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	13.1s	8524	7	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	13.1s	8524	8	PASS			2	1
ab-testing	eval-3	with_skill	FAIL	12.4s	8427	1	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	12.4s	8427	2	FAIL	Applies stalled users framework	The model provides a general 'Leaky Bucket' diagnostic framework and steps to fix onboarding. It does not apply a specific 'stalled users framework' (which typically involves categorizing users by st…	3	1
ab-testing	eval-3	with_skill	FAIL	12.4s	8427	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	12.4s	8427	4	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	12.4s	8427	5	FAIL	Suggests multi-channel onboarding	The model suggests an 'Email Sequence' but does not mention or suggest other channels such as in-app tooltips, push notifications, SMS, or social media re-engagement. It is strictly email-focused.	3	1
ab-testing	eval-3	with_skill	FAIL	12.4s	8427	6	FAIL	Cross-references emails for re-engagement	The model provides a generic 3-email sequence template. It does not 'cross-reference' existing email content or analyze previous email performance/open rates to tailor the re-engagement strategy.	3	1
ab-testing	eval-3	with_skill	FAIL	12.4s	8427	7	FAIL	Provides specific re-engagement triggers	The model provides a time-based sequence (Hour 1, Day 1, Day 3). It does not provide behavioral or event-based triggers (e.g., 'trigger if user opens app but doesn't perform core action', 'trigger if…	3	1
ab-testing	eval-4	with_skill	FAIL	9.1s	8096	1	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	9.1s	8096	2	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	9.1s	8096	3	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	9.1s	8096	4	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	9.1s	8096	5	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	9.1s	8096	6	PASS			4	1
ab-testing	eval-5	with_skill	FAIL	9.5s	8210	1	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	9.5s	8210	2	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	9.5s	8210	3	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	9.5s	8210	4	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	9.5s	8210	5	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	9.5s	8210	6	FAIL	Recommends testing different approaches	The model does not explicitly recommend A/B testing or experimenting with different approaches. Instead, it provides a 'quick decision matrix' to select a specific approach based on product type and …	5	1
ab-testing	eval-6	with_skill	FAIL	5.6s	7804	1	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	5.6s	7804	2	FAIL	References or defers to signup skill	The model provides general advice and asks follow-up questions but never explicitly references a specific 'signup skill' or internal tool/module by name, nor does it defer execution to such a skill.	6	1
ab-testing	eval-6	with_skill	FAIL	5.6s	7804	3	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	5.6s	7804	4	PASS			6	1
