Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	12.8s	11603	1	FAIL	Checks for product-marketing.md	No output files were captured.	1	1
ab-testing	eval-1	with_skill	FAIL	12.8s	11603	2	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	12.8s	11603	3	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	12.8s	11603	4	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	12.8s	11603	5	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	12.8s	11603	6	FAIL	Addresses pricing psychology	While it mentions 'Psychological Anchor' briefly in the recommendation section, it does not deeply address pricing psychology (e.g., anchoring effects, decoy effect, framing) as a standalone concept.…	1	1
ab-testing	eval-1	with_skill	FAIL	12.8s	11603	7	PASS			1	1
ab-testing	eval-2	with_skill	FAIL	14.2s	11758	1	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.2s	11758	2	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.2s	11758	3	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.2s	11758	4	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.2s	11758	5	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.2s	11758	6	FAIL	Suggests annual billing as softening measure	The model suggests monthly vs annual billing nowhere in the text. It mentions 'monthly plan' in the context of locking prices, and offers a '6-month lock' as a retention script, but does not suggest …	2	1
ab-testing	eval-2	with_skill	FAIL	14.2s	11758	7	PASS			2	1
ab-testing	eval-3	with_skill	FAIL	16.1s	11911	1	FAIL	Triggers on casual phrasing	judge did not provide concrete evidence	3	1
ab-testing	eval-3	with_skill	FAIL	16.1s	11911	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	16.1s	11911	3	FAIL	Applies MaxDiff for feature importance	The model mentions 'Good-Better-Best' tiering and Value-Based Interviews, but does not mention or explain the MaxDiff (Maximum Difference Scaling) method for feature importance anywhere in the text.	3	1
ab-testing	eval-3	with_skill	FAIL	16.1s	11911	4	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	16.1s	11911	5	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	16.1s	11911	6	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	16.1s	11911	7	PASS			3	1
ab-testing	eval-4	with_skill	FAIL	14.8s	11801	1	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	14.8s	11801	2	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	14.8s	11801	3	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	14.8s	11801	4	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	14.8s	11801	5	FAIL	Applies pricing psychology (Hick's Law)	The model mentions 'choice paralysis' as a concept, but does not explicitly reference 'Hick's Law' or apply principles of decision time relative to options in the context of Hick's Law. The term 'Hic…	4	1
ab-testing	eval-4	with_skill	FAIL	14.8s	11801	6	PASS			4	1
ab-testing	eval-5	with_skill	FAIL	11.7s	11504	1	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	11.7s	11504	2	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	11.7s	11504	3	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	11.7s	11504	4	FAIL	Applies charm pricing or Rule of 100	The output suggests prices $49, $79, $129, $149, and $66 (annual equivalent). While $79 is charm pricing, the prompt requires the application of these tactics. The output does not explicitly explain …	5	1
ab-testing	eval-5	with_skill	FAIL	11.7s	11504	5	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	11.7s	11504	6	PASS			5	1
ab-testing	eval-6	with_skill	FAIL	8.2s	11153	1	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	8.2s	11153	2	FAIL	References or defers to cro skill	The output provides general best practices and asks for more data but contains no explicit mention, reference, or deferral to a specific 'cro skill' or tool.	6	1
ab-testing	eval-6	with_skill	FAIL	8.2s	11153	3	FAIL	Explains that pricing is about pricing decisions	The output focuses entirely on conversion rate optimization (layout, CTA, trust signals) and does not explain that pricing is about pricing decisions (strategy/value definition).	6	1
ab-testing	eval-6	with_skill	FAIL	8.2s	11153	4	PASS			6	1
