Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	2.6s	30043	1	FAIL	Checks for product-marketing.md	Model output does not mention or reference 'product-marketing.md'. It initiates a curl command to fetch app data but produces no analysis file.	1	1
ab-testing	eval-1	with_skill	FAIL	2.6s	30043	2	FAIL	Identifies as Apple App Store URL	While the model attempts to curl an Apple App Store URL, it does not explicitly output a statement identifying the URL as such in a structured or confirmatory manner within the provided text.	1	1
ab-testing	eval-1	with_skill	FAIL	2.6s	30043	3	FAIL	Classifies brand maturity tier	The output contains only a bash command and 'Output files: No output files were captured.' There is no classification of brand maturity.	1	1
ab-testing	eval-1	with_skill	FAIL	2.6s	30043	4	FAIL	Scores all 6 dimensions with weights	No scores, dimensions, or weights are present in the output. The process failed before generating results.	1	1
ab-testing	eval-1	with_skill	FAIL	2.6s	30043	5	FAIL	Provides scorecard with grade	No scorecard or grade is provided. Only a terminal command is shown.	1	1
ab-testing	eval-1	with_skill	FAIL	2.6s	30043	6	FAIL	Lists top 3 quick wins	No 'quick wins' are listed in the output.	1	1
ab-testing	eval-1	with_skill	FAIL	2.6s	30043	7	FAIL	Recommendations include character counts	No recommendations are present, let alone those with character counts.	1	1
ab-testing	eval-1	with_skill	FAIL	2.6s	30043	8	FAIL	Recommendations are specific (X to Y format)	No recommendations are present.	1	1
ab-testing	eval-2	with_skill	FAIL	7.7s	30582	1	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	7.7s	30582	2	FAIL	Classifies as Challenger tier	The model mentions "Since you're a small startup" but never uses the term "Challenger tier" or classifies the app into this specific tier.	2	1
ab-testing	eval-2	with_skill	FAIL	7.7s	30582	3	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	7.7s	30582	4	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	7.7s	30582	5	FAIL	Notes Google Play indexes full description	The model mentions "keyword density... Google uses to index your app" generally but does not explicitly state or note that Google Play indexes the *full description* specifically.	2	1
ab-testing	eval-2	with_skill	FAIL	7.7s	30582	6	FAIL	Mentions feature graphic requirement	The model mentions "refreshing assets" but does not explicitly mention the "feature graphic" or any specific graphic requirements.	2	1
ab-testing	eval-2	with_skill	FAIL	7.7s	30582	7	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	7.7s	30582	8	PASS			2	1
ab-testing	eval-3	with_skill	FAIL	7.1s	30504	1	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	7.1s	30504	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	7.1s	30504	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	7.1s	30504	4	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	7.1s	30504	5	FAIL	Cites the 'mistake vs deliberate choice' principle	The model does not use the phrase 'mistake vs deliberate choice'. It refers to 'deliberate choice' once in Section 4 regarding visual assets, but does not cite the specific principle named in the ass…	3	1
ab-testing	eval-4	with_skill	FAIL	1.8s	29982	1	FAIL	Scores all 3 apps with same framework	Model output only states intent to conduct audit; no scores provided.	4	1
ab-testing	eval-4	with_skill	FAIL	1.8s	29982	2	FAIL	Builds comparison table	No comparison table present in output.	4	1
ab-testing	eval-4	with_skill	FAIL	1.8s	29982	3	FAIL	Identifies where user's app is weaker	No analysis of weaknesses provided.	4	1
ab-testing	eval-4	with_skill	FAIL	1.8s	29982	4	FAIL	Identifies keyword gaps vs competitors	No keyword analysis provided.	4	1
ab-testing	eval-4	with_skill	FAIL	1.8s	29982	5	FAIL	Produces competitor-informed action list	No action list provided.	4	1
ab-testing	eval-5	with_skill	FAIL	5.2s	30361	1	FAIL	Notes Visual Assets is 25% of score	No mention of '25%' or specific score weights for visual assets in the output.	5	1
ab-testing	eval-5	with_skill	FAIL	5.2s	30361	2	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	5.2s	30361	3	FAIL	Mentions screenshot caption indexing (Apple, 2025)	No mention of 'caption indexing' or 'Apple, 2025' in the output.	5	1
ab-testing	eval-5	with_skill	FAIL	5.2s	30361	4	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	5.2s	30361	5	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	5.2s	30361	6	FAIL	Recommends specific screenshot count and video specs	Recommends counts (5-6, 8-10) but provides no 'video specs' (e.g., resolution, duration, format).	5	1
ab-testing	eval-5	with_skill	FAIL	5.2s	30361	7	PASS			5	1
ab-testing	eval-6	with_skill	FAIL	1.4s	29969	1	FAIL	Identifies Custom Product Pages as iOS-specific	judge did not provide concrete evidence	6	1
ab-testing	eval-6	with_skill	FAIL	1.4s	29969	2	FAIL	Cites +5.9% conversion lift benchmark	judge did not provide concrete evidence	6	1
ab-testing	eval-6	with_skill	FAIL	1.4s	29969	3	FAIL	Explains CPP can match traffic source intent	judge did not provide concrete evidence	6	1
ab-testing	eval-6	with_skill	FAIL	1.4s	29969	4	FAIL	Cross-references ab-testing or ads skill	judge did not provide concrete evidence	6	1
ab-testing	eval-6	with_skill	FAIL	1.4s	29969	5	FAIL	Notes Google Play equivalents	judge did not provide concrete evidence	6	1
