Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	13.0s	19321	1	FAIL	Checks for product-marketing.md	No reference to product-marketing.md in output. Model states: 'I have enough information to write a strong email' without checking files.	1	1
ab-testing	eval-1	with_skill	FAIL	13.0s	19321	2	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	13.0s	19321	3	FAIL	Uses a structure framework from the skill	Model mentions 'PAS or QVC' but no evidence of using a specific skill framework. States: 'I'll use a proven framework' without citing skill.	1	1
ab-testing	eval-1	with_skill	FAIL	13.0s	19321	4	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	13.0s	19321	5	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	13.0s	19321	6	FAIL	Personalization connects to prospect's problem	No specific prospect personalization. Model admits: 'What you'd need to improve this: Specific trigger event... A relevant customer logo in their space'.	1	1
ab-testing	eval-1	with_skill	FAIL	13.0s	19321	7	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	13.0s	19321	8	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	13.0s	19321	9	FAIL	Provides 2-3 variations	Only 1 main email provided with 3 follow-ups. No 2-3 email variations shown.	1	1
ab-testing	eval-2	with_skill	FAIL	14.6s	19432	1	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.6s	19432	2	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.6s	19432	3	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.6s	19432	4	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.6s	19432	5	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.6s	19432	6	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.6s	19432	7	PASS			2	1
ab-testing	eval-3	with_skill	FAIL	21.5s	19982	1	FAIL	Triggers on casual phrasing	No evidence of casual phrasing detection in model output. User input shown is formal request for follow-up sequence.	3	1
ab-testing	eval-3	with_skill	FAIL	21.5s	19982	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	21.5s	19982	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	21.5s	19982	4	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	21.5s	19982	5	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	21.5s	19982	6	PASS			3	1
