Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	5.7s	19994	1	FAIL	Checks for product-marketing.md	judge did not provide concrete evidence	1	1
ab-testing	eval-1	with_skill	FAIL	5.7s	19994	2	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	5.7s	19994	3	FAIL	Follows audit priority order: crawlability first, then technical, on-page, content, authority	judge did not provide concrete evidence	1	1
ab-testing	eval-1	with_skill	FAIL	5.7s	19994	4	FAIL	Checks robots.txt and XML sitemap	judge did not provide concrete evidence	1	1
ab-testing	eval-1	with_skill	FAIL	5.7s	19994	5	FAIL	Evaluates title tags, meta descriptions, heading structure	judge did not provide concrete evidence	1	1
ab-testing	eval-1	with_skill	FAIL	5.7s	19994	6	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	5.7s	19994	7	FAIL	Notes schema markup detection limitation	judge did not provide concrete evidence	1	1
ab-testing	eval-1	with_skill	FAIL	5.7s	19994	8	FAIL	Output has Executive Summary	judge did not provide concrete evidence	1	1
ab-testing	eval-1	with_skill	FAIL	5.7s	19994	9	FAIL	Output has Prioritized Action Plan	judge did not provide concrete evidence	1	1
ab-testing	eval-1	with_skill	FAIL	5.7s	19994	10	FAIL	Each finding has Issue, Impact, Evidence, Fix, and Priority	judge did not provide concrete evidence	1	1
ab-testing	eval-2	with_skill	FAIL	11.8s	20691	1	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	11.8s	20691	2	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	11.8s	20691	3	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	11.8s	20691	4	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	11.8s	20691	5	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	11.8s	20691	6	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	11.8s	20691	7	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	11.8s	20691	8	FAIL	Provides actionable fixes organized by priority	The output provides a list of fixes under 'Action Plan', but does not explicitly organize them by priority level (e.g., High/Medium/Low) nor does it assign priority weights. The list is numbered, but…	2	1
ab-testing	eval-3	with_skill	FAIL	13.6s	20880	1	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	13.6s	20880	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	13.6s	20880	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	13.6s	20880	4	FAIL	Checks robots.txt not blocking crawlers	The model output does not mention `robots.txt` or crawling allowances/blocks anywhere in the text.	3	1
ab-testing	eval-3	with_skill	FAIL	13.6s	20880	5	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	13.6s	20880	6	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	13.6s	20880	7	FAIL	Checks for soft 404s	The model does not use the term 'soft 404' nor does it describe the mechanism of serving 200 status codes for non-existent content. It mentions 'orphaned 404s' but not soft 404s.	3	1
ab-testing	eval-3	with_skill	FAIL	13.6s	20880	8	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	13.6s	20880	9	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	13.6s	20880	10	FAIL	Mentions recovery timeline expectations	The model asks the user to reply with answers to provide a fix, but it does not specify any timeline for recovery (e.g., 'traffic typically returns in 2-4 weeks').	3	1
ab-testing	eval-4	with_skill	FAIL	27.0s	22387	1	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	27.0s	22387	2	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	27.0s	22387	3	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	27.0s	22387	4	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	27.0s	22387	5	FAIL	Checks for thin category pages	The model addresses 'Orphaned or Low-Value Category Pages' in Section 1 regarding internal linking, and 'Thin Product Descriptions' in Section 4. However, it does not explicitly audit or mention 'thi…	4	1
