Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	8.8s	13215	1	FAIL	Checks for product-marketing.md	Model stated: 'Since I don't have access to the file system to check these files' - did not actually check	1	1
ab-testing	eval-1	with_skill	FAIL	8.8s	13215	2	FAIL	Runs all three phases (scraping, SEO data, synthesis)	No scraping, SEO data, or synthesis performed - output is conversational only	1	1
ab-testing	eval-1	with_skill	FAIL	8.8s	13215	3	FAIL	Saves raw data to competitor-profiles/raw/ with date subfolder	No output files were captured	1	1
ab-testing	eval-1	with_skill	FAIL	8.8s	13215	4	FAIL	Produces individual profile per competitor	No individual profiles were produced in output	1	1
ab-testing	eval-1	with_skill	FAIL	8.8s	13215	5	FAIL	Produces _summary.md after individual profiles	No summary file was produced	1	1
ab-testing	eval-1	with_skill	FAIL	8.8s	13215	6	FAIL	Uses consistent metrics across competitors	No metrics were applied - no competitor analysis completed	1	1
ab-testing	eval-1	with_skill	FAIL	8.8s	13215	7	FAIL	Parallelizes scraping when possible	No scraping was performed	1	1
ab-testing	eval-2	with_skill	FAIL	5.6s	12924	1	FAIL	Recommends prioritization over profiling all 12	Model states: 'I'd be happy to profile all 12 competitors for you' - agrees to profile all, not recommend prioritization	2	1
ab-testing	eval-2	with_skill	FAIL	5.6s	12924	2	FAIL	Suggests top 5 based on relevance	No mention of top 5 or any ranking in output	2	1
ab-testing	eval-2	with_skill	FAIL	5.6s	12924	3	FAIL	Defaults to quick scan for large list	Model asks user to choose: 'Quick scan or deep profile?' - does not default to quick scan	2	1
ab-testing	eval-2	with_skill	FAIL	5.6s	12924	4	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	5.6s	12924	5	FAIL	Asks user to prioritize	Model asks for URLs, product info, depth level, focus areas - but does not ask user to prioritize which competitors to profile	2	1
ab-testing	eval-3	with_skill	FAIL	12.3s	13424	1	FAIL	Recommends updating over starting fresh	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * Task: Grade an agentskills.io evaluation run. * Role: Strict JSON-only evaluator. * Input: Assertions and Model Ou…	3	1
ab-testing	eval-3	with_skill	FAIL	12.3s	13424	2	FAIL	Lists what to re-pull (pricing, SEO, changelog)	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * Task: Grade an agentskills.io evaluation run. * Role: Strict JSON-only evaluator. * Input: Assertions and Model Ou…	3	1
ab-testing	eval-3	with_skill	FAIL	12.3s	13424	3	FAIL	Mentions adding Change Log section	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * Task: Grade an agentskills.io evaluation run. * Role: Strict JSON-only evaluator. * Input: Assertions and Model Ou…	3	1
ab-testing	eval-3	with_skill	FAIL	12.3s	13424	4	FAIL	Says to save raw data to new date folder	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * Task: Grade an agentskills.io evaluation run. * Role: Strict JSON-only evaluator. * Input: Assertions and Model Ou…	3	1
